,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
7893,Uno Chicago Bar & Grill,No,Yes,4.2/5,"Deep Dish Pizza, Mocktails, Onion Rings, Thin Crust Pizza, Pasta, Burgers, Chicken Tenders",1300
7896,Hyderabad Chefs,Yes,No,4.0/5,"Mutton Biryani, Hyderabadi Biryani, Bamboo Chicken, Chicken Biryani, Vegetable Biryani, Bbq Chicken, Tandoori Roti",800
7905,Beijing Bites,Yes,No,4.0/5,"Noodles, Wonton Soup, Crispy Noodle, Chowmein, Chop Suey, Beijing Chicken, Prawn",850
7908,Toscano Wine Connection,No,No,NEW,"Noodles, Wonton Soup, Crispy Noodle, Chowmein, Chop Suey, Beijing Chicken, Prawn",1200
7912,Amber Rush by The Pool,No,No,3.9/5,"Pasta, Pizza",1500
7915,Pablo's Gastrobar,No,No,4.1/5,"Cocktails, Beer, Potato Wedges, Pizza, Long Island Iced Tea, Peri Peri Fries, Chilli Chicken",1450
7919,Alto Vino - Bengaluru Marriott Hotel Whitefield,No,Yes,4.3/5,"Tiramisu, Wine, Lamb, Baked Salmon, Chicken Pasta, Ravioli, Gnocchi",3000
7933,A2B - Adyar Ananda Bhavan,Yes,No,2.7/5,"Ghee Dosa, Chai, Mysore Pak, Filter Coffee, Vada, Salad, Masala Dosa",400
7945,Suvai Factory,No,No,NEW,"Ghee Dosa, Chai, Mysore Pak, Filter Coffee, Vada, Salad, Masala Dosa",350
7964,Dilli Darbar,Yes,No,3.5/5,"Butter Kulcha, Paneer Lababdar, Paratha, Lassi, Butter Chicken, Tawa Roti, Dal Makhani",500
7970,Chaat Junction,No,No,3.6/5,"Butter Kulcha, Paneer Lababdar, Paratha, Lassi, Butter Chicken, Tawa Roti, Dal Makhani",200
7976,Miro Bar - Miraya Hotel & Residences,No,No,3.8/5,"Butter Kulcha, Paneer Lababdar, Paratha, Lassi, Butter Chicken, Tawa Roti, Dal Makhani",2000
7986,Delhi Walle,No,No,3.7/5,"Lassi, Chaat, Chole Bhature, Jalebi, Panipuri, Thali, Paratha",300
7995,Cafe Petu,Yes,No,3.8/5,"Paratha, Pizza Parantha, Sandwich, Tea, Honey Chilli Potatoes, Pasta Alfredo, Coffee",300
8000,Slounge - Lemon Tree Hotel,No,No,3.9/5,"Paratha, Pizza Parantha, Sandwich, Tea, Honey Chilli Potatoes, Pasta Alfredo, Coffee",1500
8003,At North Parontha Hut,No,No,NEW,"Paratha, Pizza Parantha, Sandwich, Tea, Honey Chilli Potatoes, Pasta Alfredo, Coffee",200
8004,Checkered Bar - MGM Mark,No,No,3.6/5,"Paratha, Pizza Parantha, Sandwich, Tea, Honey Chilli Potatoes, Pasta Alfredo, Coffee",1300
8005,Whitefield Bar and Grill - Bengaluru Marriott Hotel...,No,Yes,4.2/5,"Burgers, Cocktails, Beef Patty, Chaap, French Fries, Chicken Burger, Kulcha",3000
8012,Faasos,Yes,No,3.8/5,"Rolls, Salad, Dal Makhani, Chicken Wrap, Pizza, Chocolate Cake, Chocolate Fantasy",500
8017,Chaai Resto,Yes,No,3.4/5,"Rolls, Salad, Dal Makhani, Chicken Wrap, Pizza, Chocolate Cake, Chocolate Fantasy",250
8020,Pizza Hut,Yes,No,2.2/5,"Pizza, Garlic Bread, Veg Supreme",750
